X,Y,Series
2.3810486764045784, 2.0588060288233034, Daiichi Sankyo XEC vaccinated sera
2.478350115575231, 2.024366899367741, Daiichi Sankyo XEC vaccinated sera
2.610402068735402, 2.017983516421638, Daiichi Sankyo XEC vaccinated sera
2.450549704383616, 1.8707920472205135, Daiichi Sankyo XEC vaccinated sera
1.2592013888888889, 4.433422981495056, Meiji Seika Pharma XEC vaccinated sera
1.445348575036075, 4.6584342306998545, Meiji Seika Pharma XEC vaccinated sera
2.0596342893217896, 2.494139594631024, Meiji Seika Pharma XEC vaccinated sera
2.096863726551226, 2.942660906055562, Meiji Seika Pharma XEC vaccinated sera
2.227166756854257, 3.3915992138648376, Meiji Seika Pharma XEC vaccinated sera
2.2457814754689753, 2.756513719908376, Meiji Seika Pharma XEC vaccinated sera
